299.456, 129.800, 5.769,  6.650 False
299.166, 129.817, 5.820,  6.700 False
298.874, 129.833, 5.869,  6.750 False
298.579, 129.850, 5.919,  6.800 False
298.282, 129.868, 5.967,  6.850 False
297.983, 129.885, 6.015,  6.900 False
297.681, 129.903, 6.061,  6.950 False
297.377, 129.920, 6.108,  7.000 False
297.070, 129.938, 6.154,  7.050 False
296.762, 129.957, 6.201,  7.100 False
296.451, 129.975, 6.245,  7.150 False
296.138, 129.993, 6.291,  7.200 False
295.822, 130.012, 6.336,  7.250 False
295.504, 130.031, 6.382,  7.300 False
295.184, 130.050, 6.425,  7.350 False
294.862, 130.069, 6.470,  7.400 False
294.538, 130.089, 6.513,  7.450 False
294.211, 130.110, 6.558,  7.500 False
293.883, 130.131, 6.601,  7.550 False
293.552, 130.152, 6.646,  7.600 False
293.219, 130.172, 6.689,  7.650 False
292.883, 130.193, 6.734,  7.700 False
292.546, 130.214, 6.776,  7.750 False
292.206, 130.235, 6.820,  7.800 False
291.865, 130.256, 6.862,  7.850 False
291.521, 130.278, 6.905,  7.900 False
291.175, 130.299, 6.946,  7.950 False
290.827, 130.322, 6.988,  8.000 False
290.477, 130.345, 7.028,  8.050 False
290.125, 130.367, 7.072,  8.100 False
289.771, 130.390, 7.112,  8.150 False
289.414, 130.412, 7.156,  8.200 False
289.056, 130.434, 7.196,  8.250 False
288.695, 130.457, 7.239,  8.300 False
288.333, 130.479, 7.280,  8.350 False
287.968, 130.502, 7.323,  8.400 False
287.601, 130.524, 7.364,  8.450 False
287.232, 130.546, 7.407,  8.500 False
286.861, 130.569, 7.448,  8.550 False
286.488, 130.591, 7.491,  8.600 False
286.113, 130.613, 7.532,  8.650 False
285.735, 130.635, 7.575,  8.700 False
285.356, 130.657, 7.616,  8.750 False
284.974, 130.679, 7.659,  8.800 False
284.590, 130.701, 7.698,  8.850 False
284.205, 130.721, 7.740,  8.900 False
283.817, 130.739, 7.780,  8.950 False
283.427, 130.758, 7.823,  9.000 False
283.035, 130.775, 7.864,  9.050 False
282.640, 130.790, 7.908,  9.100 False
282.244, 130.805, 7.949,  9.150 False
281.845, 130.818, 7.993,  9.200 False
281.444, 130.832, 8.034,  9.250 False
281.041, 130.845, 8.077,  9.300 False
280.636, 130.857, 8.118,  9.350 False
280.229, 130.869, 8.162,  9.400 False
279.820, 130.879, 8.202,  9.450 False
279.408, 130.889, 8.246,  9.500 False
278.995, 130.898, 8.277,  9.550 False
278.581, 130.907, 8.297,  9.600 False
278.166, 130.916, 8.310,  9.650 False
277.750, 130.924, 8.318,  9.700 False
277.335, 130.930, 8.325,  9.750 False
276.918, 130.935, 8.330,  9.800 False
276.502, 130.939, 8.335,  9.850 False
276.085, 130.942, 8.339,  9.900 False
275.668, 130.945, 8.343,  9.950 False
275.251, 130.947, 8.345, 10.000 False
274.834, 130.949, 8.348, 10.050 False
274.417, 130.949, 8.349, 10.100 False
273.999, 130.949, 8.351, 10.150 False
273.582, 130.949, 8.352, 10.200 False
273.164, 130.948, 8.353, 10.250 False
272.747, 130.946, 8.353, 10.300 False
272.329, 130.943, 8.354, 10.350 False
271.911, 130.939, 8.354, 10.400 False
271.494, 130.935, 8.354, 10.450 False
271.076, 130.929, 8.354, 10.500 False
270.658, 130.924, 8.354, 10.550 False
270.241, 130.918, 8.354, 10.600 False
269.823, 130.911, 8.354, 10.650 False
269.406, 130.902, 8.354, 10.700 False
268.988, 130.894, 8.354, 10.750 False
268.570, 130.885, 8.353, 10.800 False
268.153, 130.876, 8.353, 10.850 False
267.735, 130.867, 8.353, 10.900 False
267.318, 130.857, 8.352, 10.950 False
266.900, 130.847, 8.352, 11.000 False
266.483, 130.837, 8.351, 11.050 False
266.066, 130.826, 8.351, 11.100 False
265.648, 130.813, 8.350, 11.150 False
265.231, 130.800, 8.349, 11.200 False
264.814, 130.788, 8.349, 11.250 False
264.396, 130.775, 8.349, 11.300 False
263.979, 130.762, 8.348, 11.350 False
263.562, 130.748, 8.348, 11.400 False
263.145, 130.734, 8.348, 11.450 False
262.728, 130.720, 8.347, 11.500 False
262.311, 130.705, 8.347, 11.550 False
261.894, 130.691, 8.346, 11.600 False
261.477, 130.676, 8.346, 11.650 False
261.060, 130.661, 8.345, 11.700 False
260.643, 130.646, 8.345, 11.750 False
260.226, 130.630, 8.344, 11.800 False
259.809, 130.614, 8.344, 11.850 False
259.392, 130.599, 8.344, 11.900 False
258.975, 130.582, 8.343, 11.950 False
258.558, 130.566, 8.343, 12.000 False
258.141, 130.550, 8.343, 12.050 False
257.725, 130.533, 8.342, 12.100 False
257.308, 130.517, 8.342, 12.150 False
256.891, 130.500, 8.342, 12.200 False
256.474, 130.483, 8.341, 12.250 False
256.058, 130.466, 8.341, 12.300 False
255.641, 130.448, 8.341, 12.350 False
255.224, 130.431, 8.340, 12.400 False
254.808, 130.413, 8.340, 12.450 False
